カテゴリ,質問,回答,参照URL
診療/受付,当日受診について教えてください。,当日の予約は取らず、直接来院。午前診と午後診は予約の方優先。夜診は受付順。,https://www.kanai.or.jp/qa/
診療/受付,支払いについて教えてください。,クレジットカード利用可。ただし予納金・予約金は現金のみ。,https://www.kanai.or.jp/qa/
診療/受付,駐車場について教えてください。,8台。利用可能時間 8:30〜20:00。20:00以降は翌朝8:30まで閉鎖。出入りは今里筋から。,https://www.kanai.or.jp/qa/
診療/受付,何科がありますか？,産科、婦人科がございます。,https://www.kanai.or.jp/
診療/受付,妊娠判定の受診目安について教えてください。,生理予定日から7〜10日遅れたら受診の目安。,https://www.kanai.or.jp/qa/
診療/受付,初診費用の目安について教えてください。,"約10,000円目安（初診料＋超音波＋必要なら尿検査）。",https://www.kanai.or.jp/qa/
診療/受付,概算料金について,予約金：10000円、予納金（妊娠36週に入ったら支払い）：出産育児一時金直接支払制度利用あり100000円・利用なし300000円、入院費：初産婦か経産婦かで変わる、他制度の利用で料金が変わる、詳細は当院サイトを確認,https://www.kanai.or.jp/obstetrics/2/#caesarean
診療/受付,子宮がん検診について教えてください。,予約なしでも受付時間内なら随時。電話予約の運用あり（番号非通知は不可）。,https://www.kanai.or.jp/qa/
診療/受付,予約をキャンセルできますか？,電話でご相談ください。,https://www.kanai.or.jp/
診療/受付,オンライン診療はありますか？,ありません。,https://www.kanai.or.jp/
診療/受付,検査結果について教えてください。,当日には出ない。検査により1〜2週間程度必要。,https://www.kanai.or.jp/qa/
診療/受付,乳がん検診について教えてください。,現在行っていない。,https://www.kanai.or.jp/qa/
診療/受付,アフターピルについて教えてください。,診療時間内に随時対応可能。,https://www.kanai.or.jp/qa/
診療/受付,本日受診希望ですが予約は取れますか？,当日のご予約はお取りしていません。直接来院してください。,https://www.kanai.or.jp/qa/
診療/受付,産科の初診・再診について教えてください。,初診の方は午前診のみ電話で予約可能。再診はご自身でWEB予約・自動受付機・直接お電話にて妊娠健診枠でのご予約をお取り下さい。,https://www.kanai.or.jp/visit
診療/受付,婦人科の初診・再診について教えてください。,初診の方は午前診のみ電話で予約可能。再診はご自身でWEB予約・自動受付機・直接お電話にて予約可能。夜診は予約を取っていないので、直接来院してください。,https://www.kanai.or.jp/visit/
会計,クレジットカードは使えますか？,ご利用いただけます。ただし予納金・予約金は現金のみです。,https://www.kanai.or.jp/qa/
アクセス/駐車場,駐車場はありますか？,駐車場（8台）は8:30〜20:00の間利用可能です。20:00を過ぎると翌朝8:30まで閉鎖されます。出入りは今里筋から行ってください。,https://www.kanai.or.jp/qa/
院内施設,入院していなくてもレストランを利用できますか？,入院中の患者さまとご家族さまのご利用となります。ご家族の利用はティータイム・夕食のみ。現在は患者さまの夕食のみレストランで提供しています。,https://www.kanai.or.jp/qa/
レストラン,当院レストランについて,火・金曜の夕食はフレンチシェフによる「シェフメニュー」をご提供。さらに、お産をがんばったママへ当院からのお祝いの気持ちを込めた「お祝いディナー」もご用意しています。夕食のみレストランにてご提供、その他のお食事はお部屋食となります。,https://www.kanai.or.jp/restaurant/
レストラン,レストランの営業時間について,ご利用時間：夕食18：00〜19：00,https://www.kanai.or.jp/restaurant/
